test_group,most_ads_hour,users_this_hour,conversions_this_hour,running_total_conversions,running_total_users
ad,0,5309,102,102,5309
ad,1,4615,62,164,9924
ad,2,5152,39,203,15076
ad,3,2590,27,230,17666
ad,4,694,11,241,18360
ad,5,742,16,257,19102
ad,6,1985,46,303,21087
ad,7,6168,114,417,27255
ad,8,16968,337,754,44223
ad,9,29802,582,1336,74025
ad,10,37454,818,2154,111479
ad,11,44149,992,3146,155628
ad,12,45238,1092,4238,200866
ad,13,45485,1140,5378,246351
ad,14,43779,1251,6629,290130
ad,15,42855,1279,7908,332985
ad,16,35963,1111,9019,368948
ad,17,33605,959,9978,402553
ad,18,31052,853,10831,433605
ad,19,29169,782,11613,462774
ad,20,27846,843,12456,490620
ad,21,28895,843,13299,519515
ad,22,25515,675,13974,545030
ad,23,19547,449,14423,564577
psa,0,227,0,0,227
psa,1,187,0,0,414
psa,2,181,0,0,595
psa,3,89,1,1,684
psa,4,28,0,1,712
psa,5,23,0,1,735
psa,6,83,0,1,818
psa,7,237,2,3,1055
psa,8,659,7,10,1714
psa,9,1202,13,23,2916
psa,10,1485,20,43,4401
psa,11,2061,30,73,6462
psa,12,2060,35,108,8522
psa,13,2170,36,144,10692
psa,14,1869,30,174,12561
psa,15,1828,46,220,14389
psa,16,1604,45,265,15993
psa,17,1383,28,293,17376
psa,18,1271,32,325,18647
psa,19,1183,29,354,19830
psa,20,1077,19,373,20907
psa,21,1081,24,397,21988
psa,22,917,15,412,22905
psa,23,619,8,420,23524
